Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.700410,0.240055,0.255365,0.723741,0.217127,0.270903,0.733065,0.214768,0.281223,0.742269,0.212552,0.292824,0.689316,0.221451,0.251396,0.673937,0.222065,0.248345,0.658744,0.222590,0.245948,0.737278,0.214221,0.338834,0.622335,0.222651,0.283578,0.707496,0.256391,0.291907,0.664506,0.260606,0.268392,0.792947,0.307535,0.440919,0.438444,0.326609,0.381789,0.788710,0.451126,0.487509,0.307586,0.479242,0.412151,0.723995,0.448735,0.249131,0.391991,0.556444,0.291855,0.691671,0.450838,0.187863,0.418162,0.578849,0.271952,0.686451,0.431956,0.191244,0.418881,0.566213,0.249651,0.686010,0.432288,0.212505,0.419553,0.558204,0.266026,0.633238,0.613442,0.482292,0.423205,0.611409,0.455437,0.605671,0.781692,0.195364,0.383779,0.796753,0.335580,0.578620,0.963356,0.352130,0.348475,0.967687,0.406426,0.560351,0.973728,0.429159,0.347611,0.998984,0.460062,0.579199,1.034382,0.308843,0.333515,1.026932,0.283461
1.000000,0.105647,0.665937,0.252005,0.241740,0.689350,0.228923,0.258880,0.700780,0.226952,0.269707,0.712054,0.224799,0.282143,0.651995,0.232402,0.238864,0.637038,0.232976,0.236032,0.622389,0.233539,0.233701,0.716432,0.228301,0.327618,0.588117,0.235800,0.271430,0.681441,0.268954,0.278540,0.630849,0.271311,0.253596,0.779820,0.324895,0.429580,0.417946,0.341042,0.369871,0.775284,0.468332,0.486014,0.308630,0.491815,0.398387,0.652228,0.462245,0.241396,0.409761,0.540480,0.254470,0.617396,0.466338,0.177780,0.442927,0.532978,0.201056,0.606196,0.446339,0.181271,0.456580,0.541618,0.203023,0.622119,0.448198,0.202993,0.453682,0.536471,0.223082,0.625390,0.626824,0.482862,0.411160,0.622941,0.453850,0.591171,0.790372,0.168156,0.387085,0.803195,0.300138,0.568563,0.962881,0.354909,0.347761,0.968815,0.404842,0.557703,0.967556,0.448872,0.342303,0.997534,0.457401,0.542349,1.040974,0.352421,0.341216,1.035852,0.293284
2.000000,0.215166,0.672578,0.266920,0.230435,0.692639,0.243624,0.248758,0.701974,0.241714,0.260646,0.711170,0.239790,0.273818,0.660788,0.247314,0.226940,0.647101,0.248142,0.223358,0.633048,0.248891,0.220492,0.708074,0.244808,0.318797,0.593508,0.252531,0.255481,0.679556,0.284773,0.268985,0.633653,0.286642,0.240922,0.776370,0.342125,0.414326,0.411486,0.357159,0.352580,0.757947,0.485198,0.481271,0.309865,0.504402,0.376594,0.637321,0.482816,0.238755,0.434965,0.560309,0.241672,0.598311,0.488905,0.172216,0.471783,0.577481,0.200859,0.593329,0.467239,0.172572,0.482343,0.567103,0.190948,0.599176,0.470004,0.196443,0.477371,0.561186,0.210489,0.621019,0.641898,0.483279,0.405371,0.636568,0.452825,0.575281,0.798310,0.142778,0.386118,0.815730,0.277993,0.545251,0.947221,0.365383,0.338488,0.970159,0.427930,0.533690,0.945793,0.461005,0.331649,0.994426,0.485284,0.519673,1.034846,0.374102,0.338499,1.040758,0.361387
3.000000,0.323103,0.650567,0.281517,0.214823,0.668056,0.257736,0.233316,0.675962,0.255791,0.245488,0.683516,0.254052,0.258717,0.637376,0.262585,0.210526,0.624304,0.263568,0.206404,0.611013,0.264425,0.203235,0.669246,0.260347,0.303885,0.566941,0.268599,0.235010,0.651542,0.299603,0.253737,0.604648,0.301958,0.224371,0.752780,0.357585,0.400960,0.379274,0.374439,0.326258,0.740065,0.503861,0.472521,0.269463,0.520464,0.363600,0.657690,0.498777,0.237903,0.270493,0.590315,0.241261,0.626295,0.503930,0.173032,0.266680,0.612921,0.206073,0.613607,0.483174,0.175993,0.286248,0.600676,0.194848,0.614035,0.484933,0.199716,0.294228,0.592981,0.213814,0.607754,0.652576,0.479225,0.386828,0.647124,0.452212,0.578307,0.804802,0.128823,0.378166,0.831645,0.288204,0.549080,0.942213,0.361916,0.342763,0.966535,0.484245,0.539220,0.943246,0.454989,0.336343,0.988624,0.545863,0.525324,1.030192,0.358944,0.343551,1.038488,0.465304
4.000000,0.433793,0.651614,0.344452,0.183956,0.667317,0.322641,0.200310,0.674841,0.320594,0.213293,0.682086,0.318505,0.227799,0.637511,0.326088,0.178902,0.623986,0.326797,0.174487,0.610537,0.327423,0.170788,0.663974,0.321513,0.275613,0.564002,0.327801,0.205585,0.650803,0.362167,0.223177,0.607295,0.365706,0.196798,0.747083,0.419660,0.368184,0.372880,0.431298,0.291851,0.738143,0.577441,0.419217,0.259310,0.576181,0.317310,0.648613,0.574749,0.183269,0.259361,0.593592,0.193596,0.624516,0.579010,0.123565,0.278542,0.631255,0.140908,0.602939,0.559633,0.127207,0.279989,0.618189,0.129275,0.605042,0.562437,0.148766,0.285462,0.612563,0.151114,0.604190,0.699061,0.476531,0.383974,0.696026,0.445673,0.581033,0.825410,0.075308,0.375860,0.833670,0.216109,0.549796,0.942640,0.341393,0.343082,0.973369,0.462279,0.545592,0.941609,0.427009,0.335544,0.987984,0.520551,0.531827,1.034446,0.354802,0.346451,1.050953,0.441357
5.000000,0.541542,0.626099,0.363274,0.159033,0.646338,0.338368,0.177239,0.653909,0.336581,0.188758,0.660889,0.334748,0.201603,0.609711,0.341489,0.157418,0.591551,0.341763,0.154244,0.572346,0.341883,0.151558,0.647110,0.339636,0.251934,0.526039,0.343239,0.190738,0.626401,0.379593,0.196205,0.574832,0.382511,0.171088,0.729192,0.436845,0.352449,0.356213,0.441751,0.290347,0.736529,0.591652,0.413540,0.226074,0.585099,0.310078,0.656804,0.594446,0.176593,0.235200,0.597394,0.159842,0.663230,0.600281,0.122737,0.215200,0.616001,0.123569,0.633406,0.578747,0.117766,0.253045,0.603412,0.112156,0.619412,0.581014,0.139687,0.258676,0.609780,0.113401,0.608549,0.711455,0.476997,0.379645,0.698066,0.442638,0.582748,0.827414,0.056186,0.376535,0.819276,0.150173,0.552080,0.919459,0.315668,0.342112,0.938821,0.404994,0.546548,0.922253,0.393651,0.333711,0.942128,0.473061,0.534061,1.007916,0.345315,0.348282,1.022117,0.398095
6.000000,0.650947,0.620104,0.403901,0.138592,0.642318,0.380978,0.156989,0.649908,0.378613,0.169769,0.657100,0.376416,0.183427,0.605008,0.384159,0.136180,0.586336,0.384059,0.132767,0.568032,0.383870,0.130008,0.640419,0.380436,0.230727,0.521641,0.384363,0.167184,0.619775,0.420425,0.173896,0.572030,0.422523,0.150767,0.725141,0.490389,0.334273,0.350645,0.489405,0.251432,0.736275,0.649132,0.376973,0.208368,0.623800,0.255997,0.667361,0.644557,0.122540,0.229764,0.631519,0.117039,0.696139,0.649739,0.067649,0.228188,0.639185,0.064378,0.665063,0.632798,0.070676,0.258151,0.626671,0.065853,0.644122,0.629900,0.093709,0.265366,0.624556,0.090398,0.609415,0.755555,0.468819,0.374441,0.742879,0.401684,0.578655,0.836121,0.035948,0.362047,0.826624,0.064453,0.543449,0.906758,0.356885,0.325874,0.905709,0.376072,0.533788,0.893174,0.450611,0.311713,0.899215,0.445436,0.530849,0.984951,0.406323,0.349220,0.978637,0.404430
7.000000,0.762445,0.633856,0.432452,0.123738,0.653705,0.408489,0.143743,0.661277,0.406546,0.156976,0.666565,0.404618,0.171888,0.611334,0.411616,0.119664,0.596576,0.412102,0.115345,0.578805,0.412431,0.111481,0.635796,0.409777,0.219092,0.537425,0.414364,0.146972,0.633114,0.448384,0.161149,0.579883,0.451917,0.133588,0.724045,0.518367,0.319199,0.354284,0.517583,0.238951,0.732485,0.683165,0.359014,0.216952,0.667522,0.237819,0.673682,0.671901,0.075081,0.216290,0.669851,0.103073,0.696261,0.675191,0.027919,0.207441,0.677328,0.059075,0.666151,0.657635,0.021854,0.240130,0.672210,0.032906,0.645388,0.658004,0.046986,0.246114,0.667468,0.057420,0.610670,0.783753,0.460103,0.375559,0.766666,0.381126,0.578271,0.844872,0.019563,0.356504,0.826914,0.007103,0.539775,0.912738,0.372644,0.318378,0.887662,0.355823,0.530343,0.898724,0.464422,0.305682,0.877150,0.424605,0.524042,0.991592,0.419389,0.342842,0.952789,0.406514
8.000000,0.871405,0.633533,0.446146,0.111955,0.650273,0.423367,0.130231,0.656228,0.421709,0.142697,0.661337,0.419868,0.155474,0.616629,0.426256,0.107454,0.600687,0.426596,0.103055,0.582195,0.426694,0.099059,0.638148,0.423461,0.204908,0.530900,0.427721,0.139242,0.627832,0.461707,0.148612,0.581278,0.466046,0.122178,0.724099,0.528100,0.302052,0.350545,0.531920,0.226745,0.734630,0.690426,0.370096,0.213589,0.682232,0.239826,0.676671,0.692563,0.083977,0.228267,0.680665,0.102356,0.696042,0.703919,0.035838,0.217786,0.701060,0.055472,0.669275,0.683102,0.023104,0.253036,0.688187,0.023883,0.649286,0.678431,0.045674,0.256407,0.682818,0.050220,0.612407,0.797070,0.460445,0.372318,0.777398,0.375060,0.577207,0.840904,0.011296,0.352775,0.841492,-0.025999,0.538183,0.914872,0.387528,0.315189,0.889946,0.354986,0.529378,0.902571,0.471894,0.304269,0.877677,0.410195,0.520275,0.962146,0.450126,0.337907,0.937974,0.424364
